class,x1,y1,z1,visibility1,x2,y2,z2,visibility2,x3,y3,z3,visibility3,x4,y4,z4,visibility4,x5,y5,z5,visibility5,x6,y6,z6,visibility6,x7,y7,z7,visibility7,x8,y8,z8,visibility8,x9,y9,z9,visibility9,x10,y10,z10,visibility10,x11,y11,z11,visibility11,x12,y12,z12,visibility12,x13,y13,z13,visibility13,x14,y14,z14,visibility14,x15,y15,z15,visibility15,x16,y16,z16,visibility16,x17,y17,z17,visibility17,x18,y18,z18,visibility18,x19,y19,z19,visibility19,x20,y20,z20,visibility20,x21,y21,z21,visibility21,x22,y22,z22,visibility22,x23,y23,z23,visibility23,x24,y24,z24,visibility24,x25,y25,z25,visibility25,x26,y26,z26,visibility26,x27,y27,z27,visibility27,x28,y28,z28,visibility28,x29,y29,z29,visibility29,x30,y30,z30,visibility30,x31,y31,z31,visibility31,x32,y32,z32,visibility32,x33,y33,z33,visibility33
Wakanda forever,0.592555344,0.33201915,-1.902299523,0.9968822,0.624050558,0.26958853,-1.864103556,0.993859887,0.641508222,0.270846546,-1.86392808,0.994661629,0.658530533,0.272823274,-1.864106774,0.989040017,0.567863047,0.266390383,-1.860880613,0.99446702,0.546280742,0.26770699,-1.861418128,0.996465921,0.528643429,0.270412624,-1.861544847,0.994404793,0.685604572,0.303348124,-1.50633347,0.99271214,0.496043921,0.298354834,-1.496728659,0.996772945,0.614443421,0.399301231,-1.756651282,0.99458164,0.553168893,0.400382161,-1.755418539,0.996097147,0.762914419,0.538529813,-1.203539968,0.981561959,0.391801238,0.548009753,-1.201998711,0.994523883,0.794041693,0.874236703,-1.560000896,0.87558198,0.350463092,0.90858829,-1.6565907,0.983105481,0.613011658,0.743271947,-1.942762613,0.7864995,0.66528362,0.6960693,-2.075229168,0.930363417,0.565788567,0.710222125,-2.038743019,0.589396477,0.747132838,0.658078253,-2.175889969,0.758348465,0.569298565,0.653756142,-1.928437948,0.561773419,0.766557753,0.603990316,-2.050011873,0.723975301,0.573714077,0.669002414,-1.900565743,0.477678478,0.742745638,0.619800746,-2.028068542,0.612226009,0.673184991,0.986582339,-0.017935697,0.819567859,0.439221203,0.967001081,0.018909851,0.82476896,0.6984725,1.220730424,-0.341814101,0.451547056,0.430051953,1.336725235,-0.037966754,0.500143111,0.713960469,1.537954092,0.749961555,0.017797885,0.444357306,1.632459402,0.745521247,0.060569413,0.707054675,1.589957118,0.84143126,0.013694159,0.450162232,1.678292155,0.808137894,0.01501489,0.730674982,1.713642836,0.524938822,0.023145394,0.469340712,1.800692797,0.42292729,0.071533188
Wakanda forever,0.592740297,0.336061835,-1.903878808,0.997073114,0.624116063,0.273139983,-1.866801023,0.99420923,0.641846836,0.275219053,-1.866570711,0.994936585,0.659197032,0.277191937,-1.866712809,0.989645183,0.568120658,0.266621172,-1.865509272,0.994801879,0.546628654,0.267711431,-1.866078377,0.996668339,0.529022276,0.270423204,-1.866281748,0.994762599,0.68570435,0.304737866,-1.510422468,0.99304235,0.496384203,0.301720589,-1.509536862,0.996978939,0.614590347,0.401132196,-1.757926226,0.994853556,0.553580403,0.400868982,-1.758334875,0.996347785,0.762540936,0.539705813,-1.196130157,0.980856419,0.391888142,0.551182687,-1.221173048,0.994754434,0.793504953,0.890376925,-1.545308352,0.864429951,0.352737218,0.910769224,-1.631510019,0.982914269,0.649540544,0.811948955,-1.979393601,0.759226799,0.660426974,0.697680175,-2.021389484,0.933796823,0.61089921,0.80040127,-2.081606627,0.563889503,0.741601765,0.65809077,-2.124108791,0.769471407,0.606463552,0.753739417,-1.98178041,0.538474619,0.750616848,0.612861395,-2.00790596,0.737013757,0.607326567,0.761128128,-1.945168138,0.457849056,0.734666765,0.650941014,-1.976948738,0.627466381,0.673979282,0.993072331,-0.017894138,0.788756669,0.455085665,1.003210902,0.018900201,0.806740344,0.698777199,1.272652864,-0.197176963,0.427561551,0.443678617,1.379860163,0.004992492,0.472002596,0.671665728,1.61157763,0.907120824,0.016504643,0.444641531,1.708043933,0.808624566,0.05636723,0.65587002,1.665052891,0.999071598,0.012718841,0.449726015,1.762022257,0.87208128,0.013873034,0.677565932,1.80721879,0.686020494,0.021654155,0.472299725,1.887012839,0.471556574,0.067258239
Wakanda forever,0.592738807,0.331729829,-1.715256333,0.997349799,0.623810947,0.269093871,-1.668967962,0.994747221,0.641583622,0.270868987,-1.668570518,0.995395303,0.659042299,0.272427589,-1.668572664,0.990592539,0.568097711,0.262984544,-1.669064283,0.995296597,0.546655953,0.263893545,-1.669637918,0.996982694,0.529058099,0.26668039,-1.669932961,0.995263875,0.685606241,0.298090518,-1.300551414,0.993659854,0.496479422,0.30074206,-1.301369309,0.997265637,0.61459887,0.393514127,-1.567929983,0.995331764,0.554415345,0.392946392,-1.569548607,0.996698439,0.762620926,0.539911926,-0.987978339,0.980820298,0.39397639,0.550909281,-1.034914494,0.995105147,0.795276999,0.889651716,-1.223555326,0.868664861,0.353092372,0.910882294,-1.381711245,0.983990133,0.646484554,0.813253939,-1.566730738,0.747558773,0.663076758,0.695296586,-1.742934823,0.939412892,0.610470235,0.80502069,-1.640302896,0.543763041,0.745876312,0.656963527,-1.832536936,0.786498666,0.59694016,0.758040488,-1.545152426,0.520805538,0.748587012,0.610226274,-1.718073845,0.756519318,0.601197362,0.763220549,-1.530017972,0.44563219,0.735046268,0.647908151,-1.697074294,0.654638171,0.67511487,1.008748412,-0.020209655,0.748916626,0.459766209,1.018720031,0.021443794,0.783368945,0.694092393,1.386427522,-0.038143221,0.407131463,0.451632261,1.425895095,0.05231877,0.442123234,0.644193351,1.733200908,0.896746457,0.015183878,0.444486052,1.779956818,0.752127349,0.051702511,0.631020248,1.789333582,0.972848415,0.01176678,0.447064579,1.842257023,0.798526883,0.012744551,0.634498477,1.92108047,0.644712389,0.019972837,0.471760213,1.952821732,0.383112341,0.062004711
Wakanda forever,0.59279114,0.328367084,-1.523019791,0.997604728,0.623163044,0.266100734,-1.468610764,0.995247185,0.640503287,0.267459869,-1.468194723,0.995828092,0.657942653,0.268548548,-1.46802187,0.991485238,0.568151057,0.261087298,-1.473921299,0.995750844,0.546850085,0.262192398,-1.474333286,0.997271717,0.529210567,0.26517424,-1.474696159,0.995721757,0.68443644,0.294609964,-1.092002988,0.994251311,0.49668321,0.300504953,-1.111755133,0.997529209,0.614600897,0.387181938,-1.37678194,0.995779157,0.555391431,0.388288051,-1.38415122,0.997019351,0.762619972,0.546019197,-0.807455659,0.981951654,0.394280285,0.551042378,-0.892385304,0.995494246,0.795428097,0.903141022,-1.093248367,0.873084366,0.35305509,0.911352217,-1.259914517,0.984948874,0.641785562,0.801064193,-1.49042654,0.749852061,0.664658666,0.688307405,-1.606710076,0.944456875,0.601179004,0.785331905,-1.564428091,0.538403213,0.748064637,0.645963848,-1.684503794,0.801401734,0.593338549,0.734212279,-1.462739229,0.517438412,0.748450637,0.595824659,-1.564263344,0.773526907,0.597746491,0.742840648,-1.454087019,0.447833449,0.729188085,0.62226069,-1.557141662,0.678947926,0.67449367,1.049665332,-0.020186406,0.697022438,0.457236379,1.055594563,0.021449309,0.739762485,0.678156018,1.473264933,0.038714927,0.370779425,0.450030476,1.491512537,0.072168477,0.40032354,0.633437157,1.827855825,0.852667511,0.01373521,0.436912447,1.849208832,0.668803394,0.046593908,0.625828862,1.889213204,0.968704045,0.010673481,0.434320152,1.913027287,0.706798077,0.011495193,0.616612136,1.998598456,0.546468675,0.018069539,0.466192186,2.01148057,0.267003328,0.056001935
Wakanda forever,0.592795908,0.328307003,-1.67361474,0.997794569,0.622492611,0.265724272,-1.631926894,0.995608091,0.640089393,0.267126858,-1.631697893,0.996144533,0.657863319,0.268332362,-1.631713271,0.992125094,0.56814611,0.260793775,-1.632953644,0.99606514,0.546899378,0.261932969,-1.633486748,0.997472882,0.529284,0.265104949,-1.633792877,0.996038198,0.684592366,0.294873267,-1.282120109,0.994663537,0.496708572,0.302462876,-1.287269831,0.997717679,0.614604592,0.387697488,-1.53507781,0.996080041,0.556632638,0.388494313,-1.538531542,0.997246265,0.762678742,0.547267318,-0.987162292,0.982212961,0.394283861,0.551092088,-1.027215958,0.995516539,0.79144007,0.900652945,-1.304849029,0.867201507,0.353624076,0.911349058,-1.417160749,0.985017896,0.640612245,0.794482529,-1.691618919,0.74744612,0.663045049,0.691123545,-1.772390723,0.94699353,0.60031575,0.774457276,-1.779607415,0.542537689,0.746700406,0.650132239,-1.854543328,0.810875773,0.598530233,0.722659647,-1.67031455,0.52368021,0.747683525,0.600209594,-1.738091111,0.784948051,0.600523293,0.732867181,-1.650437355,0.453977942,0.724480331,0.643405557,-1.72508657,0.69366169,0.673792183,1.040713072,-0.030054634,0.67318505,0.457232565,1.043325901,0.03142089,0.71585685,0.680112123,1.445438862,-0.346403956,0.357885092,0.429343522,1.453721523,-0.063233808,0.382762372,0.643857002,1.726173401,0.591205597,0.013147091,0.42968601,1.783397198,0.59897846,0.043840844,0.632038295,1.782829046,0.669479311,0.010137523,0.4309946,1.839631677,0.647834957,0.01082691,0.637945533,1.903117537,0.344960541,0.017471038,0.450018793,1.95119679,0.26795429,0.053230565
Wakanda forever,0.592170596,0.329973727,-1.65728879,0.997995853,0.62098974,0.266885132,-1.613416314,0.995997131,0.638253868,0.268557191,-1.613126516,0.996480882,0.655873299,0.27006942,-1.613110304,0.992816925,0.567917287,0.261513293,-1.613974333,0.996426046,0.54684335,0.262557715,-1.614554644,0.997703671,0.529258132,0.265859812,-1.614984274,0.996405184,0.682171285,0.295776337,-1.257641435,0.995121598,0.496719897,0.303662658,-1.2606951,0.997928202,0.613951385,0.389477521,-1.515460849,0.996434093,0.556582928,0.389537781,-1.518517613,0.997504711,0.762916446,0.548628986,-0.977334321,0.982386172,0.394276053,0.551642776,-0.999030888,0.99575156,0.776690006,0.916858852,-1.222260714,0.858870327,0.354258239,0.912490427,-1.368340492,0.985426724,0.592991471,0.801860392,-1.514959455,0.738045096,0.667056501,0.694094837,-1.696094751,0.950155318,0.544464469,0.787351072,-1.578170538,0.533066511,0.75253576,0.653319716,-1.771062493,0.819926679,0.547080934,0.73701942,-1.48500824,0.516253948,0.753624082,0.607413292,-1.651654243,0.795748353,0.55410558,0.743545353,-1.476636171,0.448271245,0.734128654,0.652265906,-1.647068739,0.708655357,0.673753679,1.046372771,-0.037078731,0.622629404,0.457346499,1.050156832,0.038640164,0.672253788,0.675609767,1.446440101,-0.219263881,0.330250978,0.433128297,1.473413467,-0.062940732,0.349616736,0.640745699,1.793598652,0.650031805,0.011966476,0.43438381,1.830666661,0.543052316,0.039683837,0.632784963,1.849873662,0.716617405,0.009235212,0.433520257,1.889315724,0.585954964,0.009812214,0.62806356,1.969080806,0.355648607,0.015939757,0.454679668,1.994714022,0.165388495,0.048459135
Wakanda forever,0.591979563,0.329974145,-1.597928882,0.998142481,0.620081007,0.266564399,-1.555884361,0.996260345,0.636994481,0.268178821,-1.55565536,0.996708155,0.654399753,0.269689739,-1.555700541,0.993304014,0.567480445,0.261286288,-1.557574034,0.996685445,0.546630621,0.26224187,-1.558167219,0.99786973,0.529200315,0.265499055,-1.558673382,0.996681929,0.680212855,0.295694083,-1.213270187,0.995453775,0.496673822,0.303332657,-1.219276547,0.998088896,0.61369276,0.389484495,-1.460572004,0.996722758,0.556645453,0.389370382,-1.464475393,0.997721851,0.763230979,0.546387017,-0.938841939,0.983013391,0.394147098,0.55102253,-0.965191483,0.995934546,0.778216004,0.914272308,-1.146887064,0.855607152,0.353882581,0.912771225,-1.300164461,0.985901654,0.596147597,0.81353724,-1.420384049,0.724995136,0.667387784,0.695510507,-1.581305742,0.95258534,0.548250079,0.808778882,-1.482181668,0.518254161,0.756462932,0.656793952,-1.648903131,0.826497674,0.549983382,0.759277463,-1.396361828,0.503296196,0.75381577,0.60854733,-1.536164522,0.803655863,0.556763232,0.761548162,-1.384920955,0.437996119,0.734922826,0.660060346,-1.533753037,0.720340371,0.673799217,1.040844679,-0.038202096,0.58082819,0.458195299,1.043791294,0.039866418,0.633642733,0.676482558,1.422823548,-0.239123017,0.306948543,0.439552724,1.464742899,-0.085954189,0.32030353,0.645852685,1.788277745,0.568728745,0.010925058,0.444069445,1.826596737,0.472773731,0.036010664,0.637975693,1.844356775,0.629926682,0.008455467,0.441688865,1.88432157,0.511780441,0.00892569,0.634769142,1.966794968,0.261684954,0.014586583,0.465352535,1.990626574,0.091472149,0.044184327
Wakanda forever,0.591639817,0.3302055,-1.506674528,0.998308063,0.61908108,0.266536504,-1.460956335,0.996587336,0.635699987,0.268066704,-1.460743666,0.996994078,0.652916312,0.269467324,-1.460729003,0.993893743,0.566592515,0.261337847,-1.466157317,0.996982157,0.545751274,0.26232484,-1.466661096,0.998058617,0.528396308,0.265674144,-1.467095613,0.996980965,0.678028286,0.295241088,-1.112546325,0.995854318,0.495683044,0.303584784,-1.134422421,0.998263717,0.613419294,0.389583081,-1.367257237,0.997018456,0.556602001,0.390387684,-1.375380039,0.997933328,0.76315695,0.545935631,-0.837857366,0.983997047,0.394059122,0.550996363,-0.896457016,0.996096313,0.779495478,0.911804736,-1.059328198,0.854238331,0.351442695,0.912535548,-1.229049444,0.985677302,0.597724617,0.813173056,-1.355699658,0.726019502,0.666666567,0.695143402,-1.492801189,0.954058886,0.549173474,0.807431638,-1.417604089,0.519829452,0.752097428,0.656946301,-1.55465579,0.83055377,0.550035715,0.755003035,-1.326380014,0.507632852,0.751151621,0.609279692,-1.436617613,0.809084833,0.556887805,0.758904755,-1.319271088,0.443295807,0.727861524,0.651515305,-1.442808032,0.729307115,0.672533751,1.029771447,-0.036997151,0.539162695,0.44785285,1.027469158,0.038627796,0.592821002,0.677866936,1.438818693,-0.164441958,0.287202358,0.43972826,1.478837848,-0.080558948,0.293087363,0.646758199,1.809901714,0.606079459,0.010040289,0.448031425,1.845096946,0.458760411,0.032644916,0.638919234,1.866690874,0.664612353,0.007792088,0.446765125,1.904012084,0.496397436,0.008114728,0.633719623,1.988515973,0.311289698,0.013432201,0.468878746,2.005777836,0.087533399,0.040295687
Wakanda forever,0.591517568,0.329192221,-1.503494382,0.998441815,0.618188262,0.265382797,-1.456405878,0.996847689,0.634687245,0.267049372,-1.456171989,0.99722147,0.651830316,0.268594682,-1.456170797,0.994374871,0.566281438,0.260333508,-1.462237716,0.997221828,0.5456177,0.26138097,-1.4627316,0.998209715,0.528309047,0.264909089,-1.463168859,0.997224867,0.67644155,0.294951826,-1.109604001,0.996179581,0.495399624,0.303552002,-1.133715749,0.998405278,0.61328125,0.388989121,-1.365807652,0.997267485,0.55660671,0.389362186,-1.374478579,0.998111725,0.762988329,0.545898855,-0.831483364,0.984751582,0.39280948,0.552212059,-0.901005745,0.996175706,0.780464709,0.910370409,-1.047521114,0.852332413,0.351193011,0.91325295,-1.230711222,0.985438466,0.598993301,0.823508322,-1.344995379,0.722220004,0.666486204,0.69514966,-1.489302158,0.955762625,0.551399946,0.818726718,-1.404722571,0.514398336,0.749148965,0.654085338,-1.549309492,0.835111856,0.552794814,0.766920328,-1.3127563,0.504285693,0.749896884,0.609478831,-1.430489063,0.814578533,0.559075773,0.770552874,-1.308490515,0.442102969,0.724269986,0.634905875,-1.438768148,0.738418639,0.671616793,1.021829486,-0.036560833,0.501714408,0.442004055,1.019920945,0.038441472,0.554762781,0.678465128,1.449437022,-0.142255515,0.266119033,0.440457761,1.483900547,-0.075756438,0.267080337,0.644661963,1.819020629,0.607637525,0.009166754,0.44792366,1.848951817,0.472041994,0.029516809,0.636586607,1.876781464,0.663057685,0.007141115,0.446280628,1.909471393,0.506972492,0.00735112,0.631496072,1.994150639,0.308669508,0.01227791,0.468808711,2.00786376,0.095610343,0.036577329
Wakanda forever,0.591486573,0.326681256,-1.405032039,0.998545229,0.617807209,0.262251318,-1.362742901,0.99703747,0.634131968,0.264175236,-1.3625561,0.997387588,0.651040435,0.266176999,-1.362639189,0.994753718,0.565996587,0.258110017,-1.365664721,0.997389436,0.5451563,0.25987488,-1.366124153,0.99831301,0.52771914,0.264028579,-1.366581917,0.997407436,0.675042987,0.293948323,-1.051545262,0.996450424,0.493997425,0.303715438,-1.061485291,0.998501897,0.613258719,0.386735588,-1.282594919,0.997498751,0.556629837,0.38800624,-1.287116408,0.998270273,0.761404157,0.545756161,-0.807242572,0.985639453,0.391081423,0.552324116,-0.845039487,0.996258736,0.780777752,0.909123182,-0.916178048,0.856200874,0.350421578,0.913967788,-1.09577775,0.986188412,0.570147157,0.840472877,-1.048484802,0.721031129,0.664903462,0.695838392,-1.242656469,0.958334029,0.515365958,0.846342981,-1.088584661,0.508359313,0.750002921,0.659220099,-1.284242272,0.842608511,0.515123844,0.794421375,-1.002616167,0.498786896,0.74913615,0.613855422,-1.175826073,0.822835386,0.525884151,0.792662919,-1.009703875,0.441180944,0.724904895,0.633604407,-1.193371892,0.751245081,0.666744828,1.036875367,-0.035935253,0.493249685,0.433778673,1.017046928,0.037806772,0.53934598,0.67907095,1.425026655,-0.284131706,0.255191386,0.44031316,1.479062438,-0.017034383,0.247417644,0.640816569,1.805336714,0.397756398,0.008661214,0.446618319,1.83703661,0.459454775,0.027029144,0.63125217,1.863824487,0.446939617,0.006846331,0.443281502,1.89601171,0.48849687,0.006810165,0.628710389,1.987184167,0.094920747,0.011480434,0.467859089,1.997252584,0.096329346,0.033765178
